,Lake,Lake_Area_m2,Tree_Cover,Trees_noKrumholz_Cover,All_Veg_Cover,Avg_Tree_Slope,Elevation_m,MaxDepth,SSRatio,Chl_a_ugL,Latitude,Longitude
0,Two Rivers Pond,802848,21.030094331923383,22.409527674799165,96.980884489647,6.242788461538462,3237.77,1.5,1.01,0.28,40.322514341,-105.6797063
1,Helene Lake,331859,15.868842863694951,24.0733939234143,80.7906784337022,4.128888888888889,3231.18,1.5,1.02,0.28,40.3201852,-105.6857955
2,Green Lake,883167,0.0,0.0,72.86022652627669,0.0,3530.19,8.0,1.03,0.43,40.254368054,-105.6328954
3,Snowbank Lake,1703040,0.0,3.8619477053663434,43.72914010615452,0.0,3517.39,10.0,1.04,1.42,40.2402564,-105.6452849
4,Ptarmigan Tarn,895333,0.0,0.4629608740391555,90.91458600186654,0.0,3343.96,6.0,1.1,0.64,40.315803598,-105.6920448
5,Two Rivers Lake,670291,12.874090170202146,14.569342177236694,96.38388176314942,5.396825396825397,3236.67,2.0,1.13,1.61,40.321265,-105.6824957
6,Frozen Lake,770844,0.0,0.0,32.55877622561759,0.0,3533.55,27.0,1.21,16.14,40.2574974,-105.6423524
7,Le Petite Tarn,1022466,0.0,0.44463460551200823,90.63704069919145,0.0,3342.13,2.2,1.35,0.47,40.316839286,-105.6913236
8,Mills Lake,12279416,16.609186780493797,22.061362790118366,73.68090820148606,10.27951388888889,3043.43,8.4,0.83,5.1,40.289387,-105.6416192
9,Lake Irene,40471,85.37574201893491,85.37574201893491,99.09493540371025,5.28125,3238.5,15.0,0.88,0.99,40.422792758,-105.814152
10,Thunder Lake,2656365,18.694074148873465,28.801584311271387,38.665047985708085,6.246996996996997,3219.6,15.0,0.92,0.57,40.2218643,-105.6474843
11,Lake Verna,13024015,26.899477172500745,29.617630573524373,86.23413764531688,9.275177025963808,3102.86,26.7,0.92,1.33,40.2260184,-105.7076127
12,Poudre Lake,1582777,56.760367669227804,60.48420246700844,97.59101095079703,5.978178368121442,3275.08,2.0,0.93,0.85,40.421305959,-105.8102117
13,Black Lake,5455939,0.9568023818592601,4.511857719668301,58.90679078317261,4.55448717948718,3248.56,34.4,0.96,2.62,40.265181,-105.6408861
14,Odessa Lake,4205497,16.948715405786366,29.1929126506131,88.52531530764814,8.504310344827585,3051.35,7.0,0.96,0.19,40.3300177,-105.6856122
15,Fern Lake,5661317,31.797434992233022,43.52797462672663,89.94034845361,6.978050921861282,2903.83,10.0,0.98,0.71,40.3362173,-105.6768127
16,Lion Lake II,2382989,0.0,5.3686499966535814,52.55338350926681,0.0,3483.86,11.4,0.98,3.69,40.2376443,-105.6416192
17,Lone Pine Lake,18274353,30.451522520962303,33.239860017859485,88.22623706814282,7.358430799220273,3009.9,10.0,0.98,0.21,40.2326371,-105.7318163
